name,imgSrc,categories,dealType,digitalCoupon,isSelected
Kellogg's Cereal-All,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kelloggs_cerealall.jpg,Grocery,BOGO,,false
Ken's Steak House Dressing & Marinade,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kens_steak_house_dressing_marinade.jpg,Grocery,BOGO,,false
On The Border Tortilla Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/on_the_border_tortilla_chips.jpg,Grocery,BOGO,,false
Ole Xtreme Wellness! Tortilla Wraps,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ole_xtreme_wellness_tortilla_wraps.jpg,Protein|Grocery,BOGO,,false
Margaret Holmes Seasoned Green Lima Beans,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/margaret_holmes_seasoned_green_lima_beans.jpg,Grocery,BOGO,,false
Jimmy Dean Sausage Croissant,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jimmy_dean_sausage_croissant.jpg,Protein|Frozen Food,BOGO,,false
Rienzi Organic Chick Peas,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/rienzi_organic_chick_peas.jpg,Protein|Grocery,BOGO,,false
Yoggies Probiotic Fruit Snacks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/yoggies_probiotic_fruit_snacks.jpg,Protein|Grocery,BOGO,,false
Prego Alfredo Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/prego_alfredo_sauce.jpg,Grocery,BOGO,,false
Wellshire Lunch Meats,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/wellshire_lunch_meats.jpg,Protein|Meat,BOGO,,false
Totino's Pizza,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/totinos_pizza.jpg,Frozen Food,BOGO,,false
Publix Southern-Style Potato Salad,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/publix_southernstyle_potato_salad.jpg,Deli,BOGO,,false
Vigo Greek Peppers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/vigo_greek_peppers.jpg,Grocery,BOGO,,false
