storenumber,cutoverDay
1219,thursday
1220,wednesday
1221,thursday
1223,thursday
1225,wednesday
1226,wednesday
1227,wednesday
1228,wednesday
1229,thursday
1230,thursday
1231,thursday
1233,wednesday
1234,wednesday
1235,wednesday
1236,thursday
1237,thursday
1238,wednesday
1239,thursday
1241,wednesday
1243,thursday
1244,wednesday
1245,thursday
1246,thursday
1247,thursday
1248,wednesday
1250,wednesday
1251,wednesday
1252,thursday
1253,wednesday
1256,wednesday
1257,thursday
1258,wednesday
1259,thursday
1260,thursday
1262,thursday
1263,wednesday
1264,thursday
1265,wednesday
1266,wednesday
1267,thursday
1268,wednesday
1269,thursday
1270,thursday
1271,thursday
1273,thursday
1274,thursday
1275,thursday
1277,thursday
1278,thursday
1279,wednesday
1280,thursday
1281,wednesday
1282,thursday
1283,thursday
1284,thursday
1285,thursday
1286,wednesday
1287,thursday
1288,thursday
1289,thursday
1290,thursday
1291,wednesday
1292,wednesday
1294,wednesday
1295,thursday
1296,wednesday
1297,thursday
1298,wednesday
1300,thursday
1301,thursday
1302,thursday
1303,wednesday
1304,thursday
1305,thursday
1306,thursday
1309,thursday
1311,thursday
1312,thursday
1316,wednesday
1317,wednesday
1318,wednesday
1320,thursday
1321,thursday
1324,thursday
1325,thursday
1326,thursday
1327,thursday
1328,thursday
1330,thursday
1333,thursday
1335,thursday
1337,thursday
1338,thursday
1339,thursday
1340,thursday
1341,thursday
1342,thursday
1343,wednesday
1344,thursday
1345,thursday
1347,thursday
1348,thursday
1349,wednesday
1350,thursday
1351,wednesday
1352,thursday
1353,thursday
1354,wednesday
1355,wednesday
1356,wednesday
1357,thursday
1358,thursday
1359,thursday
1360,wednesday
1361,thursday
1362,wednesday
1363,wednesday
1364,wednesday
1365,thursday
1366,thursday
1367,thursday
1368,thursday
1369,wednesday
1370,wednesday
1371,thursday
1372,thursday
1373,thursday
1374,thursday
1375,wednesday
1376,thursday
1377,wednesday
1378,thursday
1379,wednesday
1381,thursday
1382,thursday
1383,wednesday
1384,thursday
1385,thursday
1386,thursday
1387,thursday
1388,thursday
1389,thursday
1390,wednesday
1391,wednesday
1392,wednesday
1393,thursday
1394,thursday
1395,thursday
1396,thursday
1397,thursday
1398,thursday
1399,thursday
1400,wednesday
1401,thursday
1402,wednesday
1403,wednesday
1404,wednesday
1405,thursday
1406,thursday
1407,thursday
1408,thursday
1409,wednesday
1410,thursday
1411,wednesday
1412,wednesday
1413,thursday
1414,thursday
1415,wednesday
1416,wednesday
1418,wednesday
1419,wednesday
1420,wednesday
1421,thursday
1422,wednesday
1423,thursday
1424,thursday
1425,wednesday
1426,wednesday
1427,thursday
1428,thursday
1429,thursday
1430,thursday
1431,thursday
1432,thursday
1433,thursday
1434,thursday
1435,wednesday
1436,wednesday
1437,thursday
